year,month,number,oj_strong,oj_ordinary
2010,11,1,0,1
2010,12,3,1,1
2011,01,3,0,0
2011,02,4,0,0
2011,03,3,1,0
2011,11,2,0,0
2011,12,3,0,1
2012,01,3,1,0
2012,02,2,0,2
2012,03,3,1,0
2012,11,3,0,1
2012,12,6,1,3
2013,01,2,0,0
2013,02,5,0,3
2013,03,6,3,2
2013,11,2,0,1
2013,12,4,1,0
2014,01,3,0,0
2014,02,1,0,0
2014,03,6,0,1
2014,11,4,1,2
2014,12,6,1,1
2015,01,5,1,1
2015,02,4,0,1
2015,03,2,0,0
2015,11,3,2,1
2015,12,2,0,0
2016,01,4,0,0
2016,02,5,1,1
2016,03,1,0,0
2016,11,5,0,2
2016,12,3,1,1
2017,01,5,0,1
2017,02,6,3,0
2017,03,3,0,0
2017,11,5,0,2
2017,12,4,1,1
2018,01,6,1,1
2018,02,4,1,0
2018,03,1,0,1
2018,11,1,0,0
2018,12,6,0,1
2019,01,3,0,1
2019,02,4,1,0
2019,03,5,0,0
2019,11,4,0,3
2019,12,6,1,1
2020,01,2,0,0
2020,02,4,0,4
2020,03,6,1,0
2020,11,3,0,0
2020,12,4,1,1
2021,1,4,2,1
